"new_simple_name","kingdom","class","new_iucn"
"Idiosepius minimus","Animalia","Cephalopoda","DD"
"Pterorhinus sannio","Animalia","Aves","LC"
"Planiliza planiceps","Animalia","Actinopteri","LC"
"Platygyra acuta","Animalia","Hexacorallia","LC"
"Platygyra contorta","Animalia","Hexacorallia","LC"
"Platygyra verweyi","Animalia","Hexacorallia","LC"
"Pleuractis moluccensis","Animalia","Hexacorallia","LC"
"Pleuractis taiwanensis","Animalia","Hexacorallia","LC"
"Pocillopora acuta","Animalia","Hexacorallia","EN"
"Pocillopora brevicornis","Animalia","Hexacorallia","DD"
"Pocillopora elegans","Animalia","Hexacorallia","EN"
"Pocillopora fungiformis","Animalia","Hexacorallia","EN"
"Pocillopora kelleheri","Animalia","Hexacorallia","EN"
"Podabacia motuporensis","Animalia","Hexacorallia","LC"
"Porites aranetai","Animalia","Hexacorallia","LC"
"Porites attenuata","Animalia","Hexacorallia","EN"
"Porites compressa","Animalia","Hexacorallia","LC"
"Porites densa","Animalia","Hexacorallia","LC"
"Porites evermanni","Animalia","Hexacorallia","EN"
"Porites heronensis","Animalia","Hexacorallia","EN"
"Porites latistellata","Animalia","Hexacorallia","LC"
"Porites vaughani","Animalia","Hexacorallia","LC"
"Psammocora haimiana","Animalia","Hexacorallia","LC"
"Psammocora nierstraszi","Animalia","Hexacorallia","LC"
"Psammocora stellata","Animalia","Hexacorallia","LC"
"Pycnocraspedum microlepis","Animalia","Actinopteri","DD"
"Seriatopora aculeata","Animalia","Hexacorallia","EN"
"Seriatopora guttata","Animalia","Hexacorallia","EN"
"Crithagra mozambica","Animalia","Aves","LC"
"Simplastrea vesicularis","Animalia","Hexacorallia","DD"
"Sinuorota hexagonalis","Animalia","Hexacorallia","LC"
"Stolephorus insignus","Animalia","Actinopteri","DD"
"Stylocoeniella cocosensis","Animalia","Hexacorallia","LC"
"Stylophora subseriata","Animalia","Hexacorallia","EN"
"Tubastraea floreana","Animalia","Hexacorallia","CR"
"Turbinaria radicalis","Animalia","Hexacorallia","LC"
"Dicrurus annectens","Animalia","Aves","LC"
"Dipsastraea faviaformis","Animalia","Hexacorallia","LC"
"Dipsastraea helianthoides","Animalia","Hexacorallia","LC"
"Dipsastraea veroni","Animalia","Hexacorallia","LC"
"Echinomorpha nishihirai","Animalia","Hexacorallia","LC"
"Echinophyllia costata","Animalia","Hexacorallia","LC"
"Echinophyllia patula","Animalia","Hexacorallia","LC"
"Favites acuticollis","Animalia","Hexacorallia","LC"
"Favites colemani","Animalia","Hexacorallia","LC"
"Fimbriaphyllia paraancora","Animalia","Hexacorallia","LC"
"Goniastrea minuta","Animalia","Hexacorallia","LC"
"Goniopora burgosi","Animalia","Hexacorallia","LC"
"Goniopora cellulosa","Animalia","Hexacorallia","LC"
"Goniopora eclipsensis","Animalia","Hexacorallia","LC"
"Goniopora fruticosa","Animalia","Hexacorallia","LC"
"Goniopora stokesi","Animalia","Hexacorallia","LC"
"Homophyllia bowerbanki","Animalia","Hexacorallia","LC"
"Isopora crateriformis","Animalia","Hexacorallia","EN"
"Leptoseris amitoriensis","Animalia","Hexacorallia","LC"
"Leptoseris foliosa","Animalia","Hexacorallia","LC"
"Leptoseris solida","Animalia","Hexacorallia","LC"
"Leptoseris striata","Animalia","Hexacorallia","LC"
"Leptoseris tubulifera","Animalia","Hexacorallia","LC"
"Lobophyllia dentata","Animalia","Hexacorallia","EN"
"Lobophyllia diminuta","Animalia","Hexacorallia","EN"
"Lobophyllia hassi","Animalia","Hexacorallia","LC"
"Lobophyllia ishigakiensis","Animalia","Hexacorallia","LC"
"Micromussa lordhowensis","Animalia","Hexacorallia","EN"
"Acanthastrea brevis","Animalia","Hexacorallia","LC"
"Acanthastrea minuta","Animalia","Hexacorallia","LC"
"Acanthastrea subechinata","Animalia","Hexacorallia","LC"
"Acropora abrolhosensis","Animalia","Hexacorallia","EN"
"Acropora bushyensis","Animalia","Hexacorallia","EN"
"Acropora cophodactyla","Animalia","Hexacorallia","DD"
"Acropora dendrum","Animalia","Hexacorallia","EN"
"Acropora elegans","Animalia","Hexacorallia","LC"
"Acropora hoeksemai","Animalia","Hexacorallia","EN"
"Acropora horrida","Animalia","Hexacorallia","EN"
"Acropora kosurini","Animalia","Hexacorallia","EN"
"Acropora loisetteae","Animalia","Hexacorallia","EN"
"Acropora longicyathus","Animalia","Hexacorallia","EN"
"Acropora lovelli","Animalia","Hexacorallia","EN"
"Acropora multiacuta","Animalia","Hexacorallia","EN"
"Acropora paniculata","Animalia","Hexacorallia","EN"
"Acropora papillare","Animalia","Hexacorallia","EN"
"Acropora polystoma","Animalia","Hexacorallia","EN"
"Acropora selago","Animalia","Hexacorallia","EN"
"Acropora speciosa","Animalia","Hexacorallia","VU"
"Acropora spicifera","Animalia","Hexacorallia","EN"
"Acropora striata","Animalia","Hexacorallia","EN"
"Acropora sukarnoi","Animalia","Hexacorallia","EN"
"Acropora tumida","Animalia","Hexacorallia","EN"
"Acropora willisae","Animalia","Hexacorallia","EN"
"Alveopora allingi","Animalia","Hexacorallia","EN"
"Alveopora daedalea","Animalia","Hexacorallia","EN"
"Alveopora excelsa","Animalia","Hexacorallia","VU"
"Amynthas carnosus","Animalia","Clitellata","LC"
"Astreopora macrostoma","Animalia","Hexacorallia","EN"
"Astreopora scabra","Animalia","Hexacorallia","LC"
"Astreopora suggesta","Animalia","Hexacorallia","EN"
"Caulastraea furcata","Animalia","Hexacorallia","LC"
"Coelastrea palauensis","Animalia","Hexacorallia","LC"
"Conus aurisiacus","Animalia","Gastropoda","LC"
"Conus chaldaeus","Animalia","Gastropoda","LC"
"Coscinaraea monile","Animalia","Hexacorallia","LC"
"Cycloseris mokai","Animalia","Hexacorallia","LC"
"Cycloseris somervillei","Animalia","Hexacorallia","LC"
"Cycloseris tenuis","Animalia","Hexacorallia","LC"
"Cycloseris wellsi","Animalia","Hexacorallia","LC"
"Cyphastrea agassizi","Animalia","Hexacorallia","LC"
"Cyphastrea ocellina","Animalia","Hexacorallia","LC"
"Montipora australiensis","Animalia","Hexacorallia","EN"
"Montipora capitata","Animalia","Hexacorallia","EN"
"Montipora capricornis","Animalia","Hexacorallia","EN"
"Montipora carinata","Animalia","Hexacorallia","EN"
"Montipora cebuensis","Animalia","Hexacorallia","EN"
"Montipora confusa","Animalia","Hexacorallia","EN"
"Montipora corbettensis","Animalia","Hexacorallia","EN"
"Montipora crassituberculata","Animalia","Hexacorallia","EN"
"Montipora delicatula","Animalia","Hexacorallia","EN"
"Montipora effusa","Animalia","Hexacorallia","EN"
"Montipora floweri","Animalia","Hexacorallia","EN"
"Montipora friabilis","Animalia","Hexacorallia","EN"
"Montipora gaimardi","Animalia","Hexacorallia","EN"
"Montipora hodgsoni","Animalia","Hexacorallia","EN"
"Montipora mactanensis","Animalia","Hexacorallia","EN"
"Montipora malampaya","Animalia","Hexacorallia","EN"
"Montipora marshallensis","Animalia","Hexacorallia","DD"
"Montipora palawanensis","Animalia","Hexacorallia","EN"
"Montipora porites","Animalia","Hexacorallia","EN"
"Montipora samarensis","Animalia","Hexacorallia","EN"
"Montipora setosa","Animalia","Hexacorallia","EN"
"Montipora turtlensis","Animalia","Hexacorallia","EN"
"Neobythites australiensis","Animalia","Actinopteri","LC"
"Turdus mupinensis","Animalia","Aves","LC"
"Oulophyllia levis","Animalia","Hexacorallia","LC"
"Palaemon annandalei","Animalia","Malacostraca","LC"
"Paragoniastrea deformis","Animalia","Hexacorallia","LC"
"Parambassis siamensis","Animalia","Actinopteri","LC"
"Pavona danai","Animalia","Hexacorallia","LC"
"Pavona frondifera","Animalia","Hexacorallia","LC"
"Pectinia alcicornis","Animalia","Hexacorallia","EN"
"Physophyllia ayleni","Animalia","Hexacorallia","DD"
"Emberiza personata","Animalia","Aves","LC"
"Mogera insularis","Animalia","Mammalia","LC"
"Nodularia douglasiae","Animalia","Bivalvia","LC"
"Indoplanorbis exustus","Animalia","Gastropoda","LC"
"Lagocephalus suezensis","Animalia","Actinopteri","LC"
"Helopsaltes certhiola","Animalia","Aves","LC"
"Marisa cornuarietis","Animalia","Gastropoda","LC"
"Panthera pardus","Animalia","Mammalia","VU"
"Gomphidia kruegeri","Animalia","Insecta","LC"
"Hypsipetes amaurotis","Animalia","Aves","LC"
"Prinia crinigera","Animalia","Aves","LC"
"Pterodroma solandri","Animalia","Aves","LC"
"Pseudoplatystoma fasciatum","Animalia","Actinopteri","LC"
"Tarsiger indicus","Animalia","Aves","LC"
"Capra aegagrus","Animalia","Mammalia","NT"
"Albula argentea","Animalia","Actinopteri","DD"
"Gobiobotia kolleri","Animalia","Actinopteri","DD"
"Halieutopsis oblonga","Animalia","Actinopteri","LC"
"Indothemis carnatica","Animalia","Insecta","LC"
"Opistognathus randalli","Animalia","Actinopteri","LC"
"Johnius borneensis","Animalia","Actinopteri","LC"
"Johnius trewavasae","Animalia","Actinopteri","LC"
"Oryzias latipes","Animalia","Actinopteri","LC"
"Acridotheres leucocephalus","Animalia","Aves","LC"
"Redigobius oyensi","Animalia","Actinopteri","LC"
"Microhyla ornata","Animalia","Amphibia","LC"
"Somanniathelphusa amoyensis","Animalia","Malacostraca","DD"
"Pseudoplesiops rosae","Animalia","Actinopteri","LC"
"Apogonichthyoides sialis","Animalia","Actinopteri","LC"
"Apterichtus hatookai","Animalia","Actinopteri","DD"
"Abalistes filamentosus","Animalia","Actinopteri","LC"
"Thamnaconus fijiensis","Animalia","Actinopteri","DD"
"Bovitrigla acanthomoplate","Animalia","Actinopteri","DD"
"Bathophilus pawneei","Animalia","Actinopteri","LC"
"Beryx decadactylus","Animalia","Actinopteri","LC"
"Brachypleura novaezeelandiae","Animalia","Actinopteri","LC"
"Brachypterois serrulifer","Animalia","Actinopteri","LC"
"Holothuria coluber","Animalia","Holothuroidea","LC"
"Stichopus chloronotus","Animalia","Holothuroidea","LC"
"Labidodemas semperianum","Animalia","Holothuroidea","LC"
"Anguilla rostrata","Animalia","Actinopteri","EN"
"Engyprosopon macrolepis","Animalia","Actinopteri","LC"
"Neotrygon varidens","Animalia","Elasmobranchii","LC"
"Chelon melinopterus","Animalia","Actinopteri","LC"
"Scoliodon macrorhynchos","Animalia","Elasmobranchii","NT"
"Pristigenys refulgens","Animalia","Actinopteri","LC"
"Equulites popei","Animalia","Actinopteri","LC"
"Scotophilus heathii","Animalia","Mammalia","LC"
"Myrmecophilus mayaealberti","Animalia","Insecta","DD"
"Okamejei picta","Animalia","Elasmobranchii","DD"
"Equulites oblongus","Animalia","Actinopteri","LC"
"Equulites leuciscus","Animalia","Actinopteri","LC"
