"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW"
"040d6b07-b658-458d-beb5-defa0e8f4927","species","","Tyromyces taxi","Fungi","Agaricomycetes","","","","","","",""
"6b93cbc8-dcc5-4734-ba16-0f922a69a036","species","","Tyromyces wakefieldiae","Fungi","Agaricomycetes","","","","","","",""
"b0bb501e-6bfd-4410-a103-49d8a1f659fb","species","","Naemateloma fasciculare","Fungi","Urediniomycetes","","","","","","",""
"abafdd4b-a8ad-4a4c-84a9-9766b66b4a91","species","","Chloridium virescens","Chromista","Dictyochophyceae","原生 Native","","","","","",""
"03cb1ec3-8b54-4876-b755-05406c0e2ab8","species","","Carrhotus viduus","Animalia","Arachnida","原生 Native","","","","","",""
"363e7721-0c73-4d47-845a-0439bed388d7","species","","Menemerus bivittatus","Animalia","Arachnida","原生 Native","","","","","",""
"fa561dd6-3909-42f3-9bc2-e4444c64c707","species","","Amphiesma sp.","Animalia","Reptilia","原生 Native","台灣特有","","","","",""
"d86d3cf1-07f3-42c5-913f-8b5dbfcc563d","species","","Phascolosoma glabrum","Animalia","Phascolosomatidea","原生 Native","","","","","",""
"1982789d-8cde-4b5e-962b-e60b0c046277","species","","Aspidosiphon muelleri","Animalia","Phascolosomatidea","原生 Native","","","","","",""
"43d98a29-e931-42a8-883a-d94a05e876d6","species","","Themiste (Lagenopsis) minor","Animalia","Sipunculidea","原生 Native","","","","","",""
"f6ff7a33-a379-414f-ad28-909bc1e647ce","infraspecies","","Struthio camelus domesticus","Animalia","Aves","外來 Non-native","","","","","",""
"af59e69a-90da-43b2-89bf-b62dc41799f0","infraspecies","","Brachionus calyciflorus dorcas nosus","Animalia","Monogononta","原生 Native","","","","","",""
"b78d90ca-6c3f-4ac1-a1b1-5c7bedcbad27","species","","Archicolliuris bimaculata","Animalia","Insecta","原生 Native","","","","","",""
"369c5b30-a784-4ee5-ad10-56d2f7e41e15","species","","Colpodes acroglyptus","Animalia","Insecta","原生 Native","台灣特有","","","","",""
"f912685c-a3b1-4a08-8a15-ebb6f2430a2a","species","","Ophionea ishiii","Animalia","Insecta","原生 Native","","","","","",""
"62cc5cb6-02d1-41f4-b609-0ba2a12590cf","species","","Carabus (Damaster) blaptoides","Animalia","Insecta","原生 Native","","","","","",""
"d8075f16-b6d7-441d-b9e2-b944e74c43e9","species","","Lema pectoralis","Animalia","Insecta","原生 Native","","","","","",""
"42884ff7-e18d-4b25-bc59-81ae00b264ca","species","","Lema (Quasilema) trivittata","Animalia","Insecta","原生 Native","","","","","",""
"8ccc1966-4a45-4291-9c16-eadf3573638b","species","","Astathes janthinipennis","Animalia","Insecta","原生 Native","","","","","",""
"e103832e-b031-4e3c-b55f-3239277a45e1","species","","Xylotrechus (Xylotrechus) latefasciatus","Animalia","Insecta","原生 Native","","","","","",""
"06e1f25e-edca-4bf3-90d9-e3727eb7990d","species","","Macrotoma fisheri","Animalia","Insecta","原生 Native","","","","","",""
"0c32fd1d-c046-4932-83a5-1463f0cc8743","species","","Caccobius tortus","Animalia","Insecta","原生 Native","","","","","",""
"b0bf918a-14a8-4be7-9d9d-a67a27f19ca8","species","","Copris punctatus","Animalia","Insecta","原生 Native","","","","","",""
"4c4fc1ad-9f79-4680-a696-f1fb310ddfb0","species","","Onthophagus potanini","Animalia","Insecta","原生 Native","","","","","",""
"8fa3b3cb-7b16-42f8-add2-011ecf34f6cf","species","","Trypoxylus dichotomus","Animalia","Insecta","原生 Native","","","","","",""
"c45969d8-284b-4e8f-8aaf-33256d93cbb9","species","","Dorcus hirticornis","Animalia","Insecta","原生 Native","","","","","",""
"959f9c9d-9ee2-4766-99c0-94d376dc7504","species","","Chrysodema eximia","Animalia","Insecta","原生 Native","","","","","",""
"49494132-1c5f-425f-ac09-e46a6459dd1a","species","","Chrysodema lewisii","Animalia","Insecta","原生 Native","","","","","",""
"5251d70d-9902-415b-b8f3-e3394faadc17","species","","Habroloma griseonigrum","Animalia","Insecta","原生 Native","","","","","",""
"96aa144c-5cc2-4c50-985e-856c16fc210b","species","","Habroloma eximium","Animalia","Insecta","原生 Native","","","","","",""
"f5252af0-3782-4fc5-a613-4fc946aae798","species","","Lamprodila cupreosplendens","Animalia","Insecta","原生 Native","","","","","",""
"2a7777c5-29da-4736-8e48-841e020aa26d","species","","Lamprodila davidis","Animalia","Insecta","原生 Native","","","","","",""
"63cd0821-16a3-4bd8-a460-0fdfa03fbaad","species","","Acmaeodera luzonica","Animalia","Insecta","原生 Native","","","","","",""
"b8d5e52d-6581-42f0-9e07-59e354b7bf11","species","","Aulacocheilus luniferus","Animalia","Insecta","原生 Native","","","","","",""
"08127162-2198-48c3-8a13-43d85b22cdab","species","","Aulacocheilus sibiricus","Animalia","Insecta","原生 Native","","","","","",""
"5c87ca1a-4631-48b3-98c3-31b76844ab7d","species","","Episcapha flavofasciata","Animalia","Insecta","原生 Native","","","","","",""
"063a1e05-51e1-48b1-9368-0416c40bbc77","species","","Episcapha fortunii","Animalia","Insecta","原生 Native","","","","","",""
"a74c0161-022c-4f14-866c-319e872f0c67","species","","Episcapha morawitzi","Animalia","Insecta","原生 Native","","","","","",""
"80fe6e00-43be-468e-92e0-c258f9cae9ad","species","","Episcapha (Ephicaspa) asahinai","Animalia","Insecta","原生 Native","","","","","",""
"e30d0627-fc59-471c-8db6-86e094e1089f","species","","Attagenus unicolor","Animalia","Insecta","原生 Native","","","","","",""
"b163bc8b-c8bc-437d-b636-3c7346c35911","species","","Cephalomalthinus taoyuanus","Animalia","Insecta","原生 Native","","","","","",""
"0aaf0eae-faaf-4dd5-b376-ebeb1134b8c1","species","","Malthodes nantouensis","Animalia","Insecta","原生 Native","","","","","",""
"94a741d1-406b-4fc8-87b8-e9b282f80c89","species","","Malthodes taipehanus","Animalia","Insecta","原生 Native","","","","","",""
"01b7da7e-b5be-431a-9db8-8db83a6e995d","species","","Eobia chinensis","Animalia","Insecta","原生 Native","","","","","",""
"9243dc95-c66e-4351-bd65-324a5c85a7f0","species","","Cyclophora intermixtaria","Animalia","Insecta","原生 Native","","","","","",""
"c200b659-effc-4c1d-8077-da7a1fdaf4b8","species","","Mixochlora vittata","Animalia","Insecta","原生 Native","","","","","",""
"cbd2ae13-cc5b-493c-a402-46837fc1d90e","species","","Pogonopygia pavida","Animalia","Insecta","原生 Native","","","","","",""
"1df60d9d-9cad-4c46-9c3c-e2fa16503cc4","species","","Evecliptopera illitata","Animalia","Insecta","原生 Native","","","","","",""
"d12e73b9-a2c1-458d-829a-92b48a53118b","species","","Scriptoplusia nigriluna","Animalia","Insecta","原生 Native","","","","","",""
"13340961-0dbb-46c5-b8cd-c588982644d5","species","","Aethes cnicana","Animalia","Insecta","原生 Native","","","","","",""
"c97aee6f-1a0f-45cc-ba60-f520c93eb9d6","species","","Tosirips perpulchrana","Animalia","Insecta","原生 Native","","","","","",""
"2af6ac91-68ca-493e-9503-b75863bcfa5c","species","","Catocala macula","Animalia","Insecta","原生 Native","","","","","",""
"92c45d70-90b0-49bf-8307-af48e710a3b0","species","","Nygmia marginata","Animalia","Insecta","原生 Native","","","","","",""
"41107b14-c147-4d2b-8db4-e78f22af43bf","species","","Macroglossum faro","Animalia","Insecta","原生 Native","","","","","",""
"0568bfab-8e67-4b22-bed4-8701ea0c09fc","species","","Macroglossum mitchellii","Animalia","Insecta","原生 Native","","","","","",""
"4f480db2-1fe9-433f-ab27-1d81e1c43d61","species","","Theretra clotho","Animalia","Insecta","原生 Native","","","","","",""
"d942186e-79c6-4415-9391-691aab2245ea","species","","Marumba dyras","Animalia","Insecta","原生 Native","","","","","",""
"f591cee4-c8f5-4c89-b902-820ee304daad","species","","Megaceramis clara","Animalia","Insecta","原生 Native","台灣特有","","","","",""
"3b98a1cd-fe46-4079-90f9-1d80e5025bba","species","","Syntypistis cyanea","Animalia","Insecta","原生 Native","","","","","",""
"1dba90e3-a60d-4771-8749-2ae34b1f2207","species","","Syntypistis nigribasalis","Animalia","Insecta","原生 Native","","","","","",""
"aafd0b59-3008-4c54-8ecd-385114892250","species","","Shaka atrovittatus","Animalia","Insecta","原生 Native","","","","","",""
"a30b6db1-02df-4822-8bab-b582387ad979","species","","Dysaethria erasaria","Animalia","Insecta","原生 Native","","","","","",""
"b49ee612-4233-47ad-92b3-cd837a8fdb23","species","","Rinaca japonica","Animalia","Insecta","原生 Native","","","","","",""
"82ba2922-e8c2-4850-bef0-e4e2fc1076a7","species","","Rinaca thibeta","Animalia","Insecta","原生 Native","","","","","",""
"75deea4b-cc5d-4816-b215-b57206bc14ca","species","","Megalophipida defectalis","Animalia","Insecta","原生 Native","","","","","",""
"9b97272c-d4f4-4d0f-9826-9674a212d250","species","","Meganola major","Animalia","Insecta","原生 Native","","","","","",""
"770df134-6b83-4164-89a1-08e834e4a414","species","","Pemia meifengensis","Animalia","Insecta","原生 Native","台灣特有","","","","",""
"96dbd4db-80e1-47df-b6b6-cc11bc041e04","species","","Pachyphlegyas modigliani","Animalia","Insecta","原生 Native","","","","","",""
"1052d1c6-9c58-4075-82c3-171c5e645657","species","","Horcoma colorata","Animalia","Insecta","原生 Native","","","","","",""
"435cb6d8-8d97-4d5e-9606-9ab71c8dabe6","species","","Evacanthus flavocapitata","Animalia","Insecta","原生 Native","","","","","",""
"2037baef-e6fd-44cc-905b-8933c521e7e8","species","","Metopius dissectorius","Animalia","Insecta","原生 Native","","","","","",""
"adf7f6c7-f601-4841-a640-b2fe1fa3471f","species","","Metopius rufus","Animalia","Insecta","原生 Native","","","","","",""
"601570e5-53c5-4856-ba3a-4b645ded6e0b","species","","Polistes (Gyrostoma) tenebricosus","Animalia","Insecta","原生 Native","","","","","",""
"0dfb72db-33e8-4881-80c2-97b5d85cd5f7","species","","Polistes (Polistella) stigma","Animalia","Insecta","原生 Native","","","","","",""
"d0f57dd6-aa16-4311-8724-485bfa48e12e","species","","Polistes (Polistella) strigosus","Animalia","Insecta","原生 Native","","","","","",""
"f962b984-10de-42d9-b2a3-3711ddbe356a","species","","Polistes (Polistes) chinensis","Animalia","Insecta","原生 Native","","","","","",""
"2c0b0f8c-1e84-4703-b8ec-b98ae098a728","species","","Ceratina japonica","Animalia","Insecta","原生 Native","","","","","",""
"66d16cd0-808a-441a-a0fb-0de77cbd3dfa","species","","Ceratina okinawana","Animalia","Insecta","原生 Native","","","","","",""
"0d0719c8-3209-4358-b4da-8f69e0344be5","species","","Trogaspidia sibylla","Animalia","Insecta","原生 Native","","","","","",""
"d970ebae-7fbe-49a1-8eda-d457965e5311","species","","Scolia clypeata","Animalia","Insecta","原生 Native","","","","","",""
"7891c4c4-cf2c-42ed-b213-a52165e81e80","species","","Aedes (Aedimorphus) vexans","Animalia","Insecta","原生 Native","","","","","",""
"2ffcec26-79c2-46cd-8a7b-134f294652ec","species","","Anopheles gigas","Animalia","Insecta","原生 Native","","","","","",""
"d647d3d0-08c7-422b-8934-761a1b33d313","species","","Anopheles lindesayi","Animalia","Insecta","原生 Native","","","","","",""
"6ef4ed54-fd9c-461c-bfb5-34f845b46bea","species","","Anopheles jeyporiensis","Animalia","Insecta","原生 Native","","","","","",""
"91f39fc0-c539-40ce-a6f4-113fa48e7886","species","","Culex (Culex) pipiens","Animalia","Insecta","原生 Native","","","","","",""
"5dca8cb9-369c-4544-aa3b-78fca405eb25","species","","Culex tritaeniorhynchus","Animalia","Insecta","原生 Native","","","","","",""
"c994aa6e-29ac-4032-b916-0fc8f7b3be25","species","","Ochlerotatus aureostriatus","Animalia","Insecta","原生 Native","","","","","",""
"f310ba75-79af-45b0-9a48-ad9be9fd4189","species","","Ochlerotatus (Finlaya) elsiae","Animalia","Insecta","原生 Native","","","","","",""
"e5b8ea3e-cf48-4127-9ce8-0093be073fed","species","","Ochlerotatus japonicus","Animalia","Insecta","原生 Native","","","","","",""
"b01389c4-f16a-4478-942e-3377a390149c","species","","Ochlerotatus (Finlaya) pulchriventer","Animalia","Insecta","原生 Native","","","","","",""
"89f14df7-255e-47ee-8390-921bbedc05a0","species","","Mimomyia chamberlaini","Animalia","Insecta","原生 Native","","","","","",""
"bd88a054-b8ab-4200-ae1c-0b877b2b00ef","species","","Asarkina (Asarkina) porcina","Animalia","Insecta","原生 Native","","","","","",""
"3aa5817e-8583-4266-ad32-45c2a4a040c3","species","","Microdon caeruleus","Animalia","Insecta","原生 Native","","","","","",""
"52e07459-1714-4b42-bf02-9d398ac7523b","species","","Musca dasyops","Animalia","Insecta","原生 Native","","","","","",""
"9632332d-d3a5-461b-84c3-667b2b74aab4","species","","Elephantomyia major","Animalia","Insecta","原生 Native","","","","","",""
"ea2edd94-737b-4a5b-87a9-35abbd50cff5","species","","Rhipidia formosana","Animalia","Insecta","原生 Native","","","","","",""
"8393c6bb-3f27-4410-be6d-264ee960ac91","species","","Sergentomyia iyengari","Animalia","Insecta","原生 Native","","","","","",""
"17bf632b-8a56-46ba-89fe-3f13c0483ac0","species","","Conops nebeculosus","Animalia","Insecta","原生 Native","","","","","",""
"8672157b-1048-4183-92de-ee6d89a2bbc9","species","","Ornithoica stipituri","Animalia","Insecta","原生 Native","","","","","",""
"d3e093d0-4723-47ca-90f4-a5bca2508668","species","","Icosta ardeae","Animalia","Insecta","原生 Native","","","","","",""
"4f6cf3cc-b3df-4332-a56c-c9e2ff42a1ec","species","","Eucriotettix oculatus","Animalia","Insecta","原生 Native","","","","","",""
"39247c75-e557-4784-b6e6-868c190e7ac9","species","","Locusta migratoria","Animalia","Insecta","原生 Native","","","","","",""
"5a3cfc65-615e-4b61-b1ce-b67ce6437f85","species","","Oxya japonica","Animalia","Insecta","原生 Native","","","","","",""
"4e0d7a43-bacb-41f2-9e35-d04fb185022f","species","","Traulia ornata","Animalia","Insecta","原生 Native","","","","","",""
"a19fbe06-9152-4744-8140-128c17343cf4","species","","Conocephalus japonicus","Animalia","Insecta","原生 Native","","","","","",""
"a360e341-c46b-423c-ac01-46380e773608","species","","Centrocolumna gigas","Animalia","Insecta","原生 Native","","","","","",""
"cecdc990-48ef-4678-8734-cb91eba3fc9e","species","","Centrocolumna striata","Animalia","Insecta","原生 Native","","","","","",""
"895871ea-0093-4f21-8386-d9d2384e2e40","species","","Sympetrum speciosum","Animalia","Insecta","原生 Native","","","","","",""
"15f4150e-8365-496c-8783-bea31264c77d","species","","Epithemia argus","Chromista","Bacillariophyceae","原生 Native","","","","","",""
"be1b0714-c349-4a5f-a263-1c93570cb819","species","","Ozptila nongae","Animalia","Arachnida","原生 Native","","","","","",""
"37d6e01a-aa3a-43f3-acc1-16b1830877d0","species","","Ozptila matsumotoi","Animalia","Arachnida","原生 Native","","","","","",""
"b2b02614-e034-49c2-af74-a082b41784c8","species","","Merismopedia elegans","Bacteria","Cyanophyceae","原生 Native","","","","","",""
"8fe4d0b8-eba8-410a-835a-ea5f9f803e30","infraspecies","","Microcystis aeruginosa aeruginosa","Bacteria","Cyanophyceae","原生 Native","","","","","",""
"84c8402d-c8b1-439c-87ef-d81afa5fc2f6","species","","Lyngbya putealis","Bacteria","Cyanophyceae","原生 Native","","","","","",""
"534293e3-4d9b-42fb-93e5-8a09a36c62d6","species","","Podocnemis unifilis","Animalia","Reptilia","外來 Non-native","","","","","",""
"060c8136-2fe0-4478-8f68-c2d1a85b413d","species","","Centrochelys sulcata","Animalia","Reptilia","外來 Non-native","","","","瀕危（EN, Endangered）","",""
"9aaea9a4-924e-46db-8ff3-221b3007b150","species","","Dendriscosticta phyllidiata","Fungi","Ascomycetes","原生 Native","","","","","",""
"e858ffde-bae2-4140-a63b-104a78cf56f5","species","","Anthaxia huashanica","Animalia","Insecta","原生 Native","","","","","",""
"dc84dee5-08b1-4502-8fe4-93e85ce9ff0e","species","","Xylotrechus subscalaris","Animalia","Insecta","原生 Native","","","未評估（NE, Not Evaluated）","未評估（NE, Not Evaluated）","",""
"51a35dc0-5cba-434d-b61d-b9ddc0616746","species","","Catocala seiohbo","Animalia","Insecta","原生 Native","","","未評估（NE, Not Evaluated）","未評估（NE, Not Evaluated）","",""
"910f3690-88d8-4580-8886-eb65364f0467","species","","Rhyparus kitanoi","Animalia","Insecta","原生 Native","","","未評估（NE, Not Evaluated）","未評估（NE, Not Evaluated）","",""
"0995b295-9a87-4bf5-9d67-01a6d798a072","species","","Eupithecia likiangi","Animalia","Insecta","原生 Native","","","未評估（NE, Not Evaluated）","未評估（NE, Not Evaluated）","",""
"07da3d76-41a2-4896-9fca-355d7db2e8c3","species","","Leptobelus gazella","Animalia","Insecta","原生 Native","","","","","",""
"1e10ba51-de18-4b0b-a101-ed28b7296b43","species","","Harpalus indicus","Animalia","Insecta","原生 Native","","","","","",""
"61885e0b-9a66-4cee-a067-6822b9ff264f","species","","Actias ningpoana","Animalia","Insecta","原生 Native","","","","","",""
"b44b4fc7-c78e-42a0-a4d3-9af13a44d51b","species","","Limonia productina","Animalia","Insecta","原生 Native","","","","","",""
"7ed62a0d-f048-42c6-8633-494c31c9fae0","species","","Praolia citrinipes","Animalia","Insecta","原生 Native","","","","","",""
"af2a2ef8-83dc-4437-981a-0e8beb23b523","species","","Chlaenius noguchii","Animalia","Insecta","原生 Native","","","","","",""
"78ecb8fd-1e13-4930-8af5-e86236a85305","species","","Ophionea bhamoensis","Animalia","Insecta","原生 Native","","","","","",""
"bda69944-e61b-42b9-8c9d-be78d519e670","species","","Limonia apicalis","Animalia","Insecta","原生 Native","","","","","",""
"2d8e7d95-6403-4490-9ddc-4444557f3b28","species","","Tropidoclonion lineatum","Animalia","Reptilia","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"59ee7a82-d97b-46ff-b242-23d21e25b2b1","species","","Malayemys subtrijuga","Animalia","Reptilia","外來 Non-native","","","","接近受脅（NT, Near Threatened）","",""
"1693137d-a211-4743-b37f-8bc43ebbe2e1","species","","Alle alle","Animalia","Aves","原生 Native","","","","暫無危機（LC, Least Concern）","",""
"ade52c8a-ed3a-4ea2-9829-ae725d377255","species","","Pyrrhura molinae","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"1733bbe3-48a8-433e-9bb0-688d14e943a8","species","","Mustela putorius","Animalia","Mammalia","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"ad4a8f2c-9cbf-4170-9a6d-66c8dacd57d4","infraspecies","","Mustela putorius furo","Animalia","Mammalia","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"b8bf8509-0dc8-4042-a722-b0f0e44d9697","species","","Procyon lotor","Animalia","Mammalia","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"c10373f4-265a-48dd-9c00-9c9fdd23a51d","species","","Petaurus breviceps","Animalia","Mammalia","外來 Non-native","","","","","",""
"d881e02a-3576-4ee0-91aa-f45c60c0cbca","species","","Caridina gracilirostris","Animalia","Malacostraca","原生 Native","","","","","",""
"6670db62-1dbc-4f4a-8b7d-9f5deb3c62d9","species","","Diatoma hyemalis","Chromista","Bacillariophyceae","原生 Native","","","","","",""
"479b16f1-249c-4a94-9d67-6b3179be6dd8","species","","Phyllachora dolichogena","Fungi","Sordariomycetes","原生 Native","","","","","",""
"d9458b74-f1be-4d0e-8077-c977030e3ea5","species","","Euplectes orix","Animalia","Aves","外來 Non-native","","","","","",""
"a52434ab-692e-448e-836a-14e8be55520f","species","","Machlolophus spilonotus","Animalia","Aves","外來 Non-native","","","","","",""
"7b8af3a7-4be8-4169-836a-152ee2d5183b","species","","Amandava subflava","Animalia","Aves","外來 Non-native","","","","","",""
"3e7a03fb-17d5-40b3-8606-176bf4e1fb2e","species","","Agapornis personatus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"aafb6332-190b-4cc6-ab49-27acef3386b4","species","","Ara chloropterus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"a97fb864-f463-4461-ba88-bb466990721a","species","","Ara macao","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"606ec845-ddff-4d26-9328-f98262379fe3","species","","Callonetta leucophrys","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"9c0f14d5-ff72-4e4c-9c82-809667299ee6","species","","Crithagra citrinipectus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"7099f442-8a53-4a2d-8931-ffbe3c84fd04","species","","Dacelo novaeguineae","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"7bfc652d-5ba2-460e-af0f-814beeba48df","species","","Chloropsis cochinchinensis","Animalia","Aves","外來 Non-native","","","","","",""
"ad201582-e7a7-4fd9-a0ed-c221a73c4b3d","species","","Diopsittaca nobilis","Animalia","Aves","外來 Non-native","","","","","",""
"a5935862-582d-4613-bb75-ced685072303","species","","Eclectus roratus","Animalia","Aves","外來 Non-native","","","","","",""
"e74e163c-ed0b-4267-ba67-6504901c45fa","species","","Geokichla dohertyi","Animalia","Aves","外來 Non-native","","","","接近受脅（NT, Near Threatened）","",""
"3c68165d-64e0-4bbc-abcb-a4efc5896034","species","","Geopelia cuneata","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"3f3457bf-296d-4ce0-82cd-2dc112fa3b02","species","","Lamprotornis caudatus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"74b389a9-5768-485c-bf90-09a5ed774ad0","species","","Leistes superciliaris","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"404f67b3-05ea-4bc3-91ef-0991c7689583","species","","Meleagris gallopavo","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"959dcb70-5972-4529-866b-cc978cad8045","species","","Myiopsitta monachus","Animalia","Aves","外來 Non-native","","","","","",""
"e709d5b2-c640-4667-9fb8-60666b1ee392","species","","Numida meleagris","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"9183b1fe-1421-422a-9fb0-c39fdd68d1b9","species","","Parabuteo unicinctus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"af33d0b9-46a7-4906-ab03-92dfe27e3619","species","","Paroaria gularis","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"d23a3d9c-afd8-4445-84d0-b4c9f1ab11b5","species","","Ploceus jacksoni","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"f6548d21-5627-4147-8e4c-84df9cdf06da","species","","Poicephalus senegalus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"c8e63a90-eac2-4f16-844c-dfa66e8abeea","species","","Primolius auricollis","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"2a2a5e09-0cc1-4ea0-8876-d3a1add0bbbd","species","","Psittacara erythrogenys","Animalia","Aves","外來 Non-native","","","","接近受脅（NT, Near Threatened）","",""
"6b954751-7b3e-43e8-a855-d3d098f01ffc","species","","Psittacula eupatria","Animalia","Aves","外來 Non-native","","","","","",""
"c9ee301c-8be3-4dde-8542-8aa54aae1742","species","","Pyrrhocorax pyrrhocorax","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"8b3d288a-1c6d-4a53-9793-1f3c28095b5d","species","","Sicalis columbiana","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"54a5c8b3-778a-46e0-9b9c-7d36799b3c18","species","","Trichoglossus moluccanus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"df813c85-d964-4849-b506-d315679eb937","species","","Trichoglossus rubritorquis","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"fb46b4e5-d2b4-43ba-a5db-f3cc22bf92b1","species","","Trochalopteron formosum","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"ca04b9ad-203b-49a4-9ff4-25a903752d32","species","","Vidua chalybeata","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"236baa19-37c4-41b9-8761-dc2e29ec67f5","species","","Vidua obtusa","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"52a618fb-6fa2-4e85-a9ba-22640c0c651a","species","","Epitonium pallasi","Animalia","Gastropoda","原生 Native","","","","","",""
"696ba4d9-5235-4c5d-b3fe-3dd4f01975e0","species","","Peltigera mikado","Fungi","Ascomycetes","原生 Native","","","","","",""
"d96611a3-a551-443b-868d-68f79ed970f9","species","","Ricasolia glomulifera","Fungi","Ascomycetes","原生 Native","","","","","",""
"91e03f16-b76a-435f-a65c-a9d18146d511","species","","Entoloma chalybeum","Fungi","Basidiomycetes","原生 Native","","","","","",""
"9e971571-096d-4fcb-aa31-8dc62e2a110e","species","","Chrysomyxa ledi","Fungi","Pucciniomycetes","原生 Native","","","","","",""
"4c60be19-b296-46a5-8d5e-e83379f9f3ef","species","","Thranius rufescens","Animalia","Insecta","原生 Native","","","","","",""
"0859d6e3-78d5-492d-bd4e-3538dbd7cda4","species","","Scutellera nepalensis","Animalia","Insecta","原生 Native","","","","","",""
"d7390f69-d926-4265-80f0-8c16c32f7d0f","species","","Huangilene alikangiae","Animalia","Insecta","原生 Native","","","","","",""
"e27f2b6d-261f-4c70-8a1a-af9158fca1ba","species","","Dichagyris triangularis","Animalia","Insecta","原生 Native","","","","","",""
"6f77bdd4-ecf9-4789-8fec-d13a2f64875f","species","","Epistauropus terminalis","Animalia","Insecta","原生 Native","","","","","",""
"e06f03b0-9445-4ff4-9e97-e05c89d7eb1d","species","","Capra aegagrus","Animalia","Mammalia","外來 Non-native","","","","接近受脅（NT, Near Threatened）","",""
"9f01f99c-b39c-4cf1-9c51-1b644ccaa172","species","","Carpodacus vinaceus","Animalia","Aves","原生 Native","","","","","",""
"d87d4a9b-f341-44d2-857f-923b3a054eff","infraspecies","","Urothemis signata signata","Animalia","Insecta","原生 Native","","","","","",""
"4b37b23c-ab7c-4e13-bc0a-9ea333ce51ee","species","","Macrochelys temminckii","Animalia","Reptilia","外來 Non-native","","","","","",""
"024b8a76-b1f7-4593-8baf-79030591f242","species","","Geosesarma mirum","Animalia","Malacostraca","原生 Native","","","","","",""
"67dbb98e-af36-4bd2-b7b7-8299791989a3","species","","Dendrocopos hyperythrus","Animalia","Aves","原生 Native","","","","暫無危機（LC, Least Concern）","",""
"47f17362-6af6-4ea5-9a88-011396d686bd","species","","Emberiza buchanani","Animalia","Aves","原生 Native","","","","暫無危機（LC, Least Concern）","",""
"47011ba1-a5ba-4aa0-937e-caf42b93cc20","species","","Euplectes afer","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"8d3b0f6d-7b24-4e98-bd0c-dc51897a7587","species","","Stizoptera bichenovii","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",""
"e6ed5b5d-64c0-41f6-b7d9-2142899acee4","species","","Graptemys ouachitensis","Animalia","Reptilia","外來 Non-native","","","","","",""
