"taxonUUID","kingdom","class","simplifiedScientificName","nativeness","protectedStatusTW","categoryRedlistTW","categoryIUCN","taxon_id","sensitiveCategory","iucn_sensitive","protected_sensitive","redlistTW_sensitive","sensitive","date","comparison_sensitive"
"810b4a50-36c5-4cfa-8426-f7fd1bc7ff81","Animalia","Mammalia","Lorisidae","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"1a85b941-b1be-466e-8923-822fe688d8ba","Animalia","Mammalia","Caviidae","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"7231d48e-6a10-4b04-ac82-fb55aef83a78","Animalia","Aves","Ianthocincla","non-native","","","","t0021047","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"e9c38591-bd7f-4f11-8fd5-394b77cc2cc6","Animalia","Mammalia","Mesocricetus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"1940fc57-c9bf-474a-a8a6-40c7906600be","Animalia","Mammalia","Phodopus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"f8d7eb8a-b255-4d03-9def-91daee54b663","Animalia","Mammalia","Urotrichus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"26464dbe-41ae-4663-86dc-8314a93861d0","Animalia","Mammalia","Ovis","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"029a1fbf-52f6-4d65-bb20-83e477819466","Animalia","Mammalia","Antidorcas","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"ee3aa6e0-e276-4a70-993d-b118cff258e0","Animalia","Mammalia","Helarctos","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"04599a69-21aa-4ce9-bca7-c4f1a38a4740","Animalia","Mammalia","Oryctolagus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"c198e721-573e-4551-b5f8-0c1f89eb51b6","Animalia","Mammalia","Panthera","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"cbc0bd5b-7614-4645-8a5f-002f0ae2c8a3","Animalia","Mammalia","Tamias","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"f6e5eb70-cb8c-46d2-af39-1604970ecc97","Animalia","Mammalia","Vulpes","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"c425101b-cbc1-45f8-a254-8807d78cf6e4","Animalia","Mammalia","Murina hilgendorfi","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"b347bec6-28b2-4b0c-857f-c6df50554216","Animalia","Mammalia","Mustela furo","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"9909a0ee-3934-4890-b3dc-759cc7e7227b","Animalia","Mammalia","Miniopterus magnater","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"a4125221-169a-4730-a71b-42e61fd01771","Animalia","Mammalia","Eptesicus nilssonii","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"a5640d3b-aa7e-4b2e-a093-3636fa2247f5","Animalia","Mammalia","Plecotus sacrimontis","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"31e4c4b6-55a4-40a1-b6d2-533fb5cfb1ac","Animalia","Mammalia","Rhinolophus cornutus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"f57cf28c-d944-4722-a868-5e5693a75ac0","Animalia","Mammalia","Rhinolophus ferrumequinum","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"d2f83844-fc68-49a3-994a-7ecf800561e7","Animalia","Mammalia","Cavia","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"2795de51-afc8-4145-9792-91b47a996f3a","Animalia","Mammalia","Ovis aries","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"57b79f95-3ec9-48d7-8b6b-4e2d6dadc2d6","Animalia","Mammalia","Antidorcas marsupialis","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"de68e296-4017-4e86-8975-6b921cdf2f39","Animalia","Mammalia","Helarctos malayanus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"6737df18-5af8-4063-8c26-6aeedd361c5d","Animalia","Mammalia","Oryctolagus cuniculus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"4692064b-c590-446e-825a-cf53e871de65","Animalia","Mammalia","Mesocricetus auratus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"6068734b-980b-45e7-a8da-cfd8674b3921","Animalia","Mammalia","Vulpes vulpes","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"80ee2f37-ca69-4cda-94c2-0c6b8b5ebf04","Animalia","Mammalia","Panthera pardus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"ae00bc13-6d1c-4fc7-a9ee-cb4554472885","Animalia","Mammalia","Panthera tigris","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"7e8fdcc4-452c-47db-8c78-231b007bafcf","Animalia","Mammalia","Phodopus sungorus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"4438e066-0a45-41df-ba32-7a6a9ff9d2d6","Animalia","Mammalia","Tamias sibiricus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"fe1f4adf-4b7f-4942-9bf6-5efeca8ce341","Animalia","Mammalia","Cavia porcellus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"aabbfc8b-d55b-4750-94a3-9a9ea9ee4a7f","Animalia","Mammalia","Urotrichus talpoides","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"1b9c91da-d05c-4ede-9a84-66f77acbfb0c","Animalia","Mammalia","Oryctolagus cuniculus domesticus","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
"5f56504c-0370-48e8-87f4-b62da412d2c7","Animalia","Mammalia","Panthera tigris tigris","non-native","","","","","分類群不開放",NA,NA,NA,"分類群不開放",NA,TRUE
